# Threat Intelligence Export Feed
# Dataset Version: 1.0
# Generated: 2025-03-10
#
# Column Definitions:
# record_id           -> Unique record identifier for the threat event
# src_ip              -> Source IP address involved in the activity
# dst_ip              -> Destination IP observed in telemetry
# indicator_value     -> Main indicator (hash/domain/url/ip)
# indicator_type      -> Type of IOC (md5, sha256, domain, url, ip)
# first_seen_epoch    -> First observed timestamp in epoch format
# last_seen_epoch     -> Last observed timestamp in epoch format (may be empty if still active)
# severity_score      -> Threat severity score (0-100)
# confidence_score    -> Confidence in detection (0-100)
# campaign            -> Associated malware campaign or threat actor
# context_details     -> Complex structured metadata (JSON-like string with host/user/process info)
# tags                -> Pipe-separated classification tags
# analyst_note        -> Analyst investigation note
# reviewed            -> Whether the IOC has been reviewed (true/false)
record_id,src_ip,dst_ip,indicator_value,indicator_type,first_seen_epoch,last_seen_epoch,severity_score,confidence_score,campaign,context_details,tags,analyst_note,reviewed
R00001,82.128.68.216,10.0.13.82,http://auth-panel.cn/payload.bin,url,1704842805,,41,99,RedLine,"{host:HR-PC17,user:asmith,process:rundll32.exe,geo:KP,asn:AS22112}",dropper|loader|phishing,Suspicious download observed,false
R00002,14.191.51.179,10.0.0.151,1422d39afb889cd296d85160bfbdde8c,md5,1704519713,1705823925,63,92,APT29,"{host:DEV-LT07,user:jdoe,process:powershell.exe,geo:RU,asn:AS53672}",infostealer|malware|phishing,Automated detection alert,true
R00003,161.124.13.95,10.0.20.156,97.110.64.175,ip,1704418299,1706311961,58,51,Mirai,"{host:FIN-SRV01,user:mwong,process:outlook.exe,geo:CN,asn:AS21778}",malware|email|download|phishing,Requires further investigation,false
R00004,33.70.251.130,10.0.18.38,9fa3f92c05025763be726c6f14cd9953,md5,1704167255,1704886284,57,48,RedLine,"{host:EDGE-GW01,user:guest,process:rundll32.exe,geo:DE,asn:AS40796}",apt|lateral|phishing|loader,Confirmed malicious beacon,true
R00005,98.139.176.121,10.0.9.110,e29af2c7d7597792f3311eb5c7d279c2d57629d03ad9eec28256982c9ded707a,sha256,1704213456,1705328606,41,57,RedLine,"{host:FIN-SRV01,user:svc_backup,process:cmd.exe,geo:RU,asn:AS39256}",ransomware|apt|c2|phishing,Requires further investigation,false
R00006,171.45.227.143,10.0.2.207,15.64.218.174,ip,1705702702,1707568831,51,59,Emotet,"{host:ENG-LT02,user:admin,process:chrome.exe,geo:IR,asn:AS55430}",download|phishing,Suspicious download observed,false
R00007,12.170.133.178,10.0.13.196,update-check.net,domain,1705225156,,67,43,QakBot,"{host:SALES-PC09,user:admin,process:rundll32.exe,geo:DE,asn:AS53328}",c2|ransomware|apt,Requires further investigation,false
R00008,213.11.32.126,10.0.4.190,0f559c24a27f206432d363ae4a652bee3e13b60e3f4a4a66a666d5651602f400,sha256,1704894785,1704950672,62,92,RedLine,"{host:ENG-LT02,user:svc_backup,process:wscript.exe,geo:DE,asn:AS48468}",dropper|c2|ransomware|download,Possible lateral movement,true
R00009,52.84.102.96,10.0.20.247,data-node.org,domain,1704768445,1706118494,87,87,Unknown,"{host:FIN-SRV02,user:admin,process:outlook.exe,geo:NL,asn:AS39481}",loader|beacon|phishing|lateral,Automated detection alert,false
R00010,231.29.203.28,10.0.10.89,7b50f2b4db7419ab913267674548528ad0d19ed44045a0d15979ac7225a5d4d2,sha256,1705701729,1707632465,69,88,APT29,"{host:ENG-LT02,user:analyst,process:wscript.exe,geo:RU,asn:AS60647}",c2|apt,Requires further investigation,false
R00011,160.55.121.15,10.0.20.10,b61febb2b2c68302b6f79f1a6f4705d3016094b7f174b189efc6a864d41948f4,sha256,1704882641,1705947313,79,95,CobaltStrike,"{host:HR-PC17,user:svc_backup,process:rundll32.exe,geo:IR,asn:AS60287}",dropper|recon|beacon|phishing,Automated detection alert,false
R00012,131.123.195.188,10.0.5.99,http://backup-sync.net/stage.bin,url,1706066264,1708040235,94,78,QakBot,"{host:SALES-PC09,user:mwong,process:powershell.exe,geo:RU,asn:AS23222}",recon|loader|email|beacon,Suspicious download observed,false
